gene	gencodeId	n_transcripts	max_median	second_median	multi_isoform_normal
ESCO2	ENSG00000171320.14	8	0.029999999329447746	0.0	False
ESR2	ENSG00000140009.18	13	0.47999998927116394	0.23000000417232513	False
EVI5L	ENSG00000142459.8	7	11.210000038146973	1.0299999713897705	True
EXD3	ENSG00000187609.15	12	7.579999923706055	6.570000171661377	True
EXOC7	ENSG00000182473.21	21	29.670000076293945	14.029999732971191	True
EXOSC10	ENSG00000171824.13	11	25.979999542236328	15.010000228881836	True
FADS3	ENSG00000221968.8	13	15.319999694824219	6.199999809265137	True
FAM153A	ENSG00000170074.19	23	8.649999618530273	7.139999866485596	True
FAM76A	ENSG00000009780.15	7	5.340000152587891	0.7699999809265137	False
FAM83A	ENSG00000147689.16	8	0.05000000074505806	0.03999999910593033	False
FAM86B1	ENSG00000186523.14	19	1.9700000286102295	1.7599999904632568	True
FBLN2	ENSG00000163520.13	7	14.369999885559082	6.980000019073486	True
FBLN5	ENSG00000140092.14	9	34.13999938964844	7.260000228881836	True
FBXO25	ENSG00000147364.16	10	12.0	3.4600000381469727	True
FCGRT	ENSG00000104870.12	18	74.08000183105469	17.1200008392334	True
FER	ENSG00000151422.12	10	2.240000009536743	0.38999998569488525	False
FES	ENSG00000182511.11	17	14.970000267028809	3.680000066757202	True
FGFR2	ENSG00000066468.22	27	8.529999732971191	6.690000057220459	True
FGFR4	ENSG00000160867.14	16	2.6700000762939453	0.28999999165534973	False
FKBP5	ENSG00000096060.14	4	65.52999877929688	3.180000066757202	True
FLNA	ENSG00000196924.14	19	1024.489990234375	843.239990234375	True
FLNB	ENSG00000136068.14	14	101.16999816894531	15.739999771118164	True
FN1	ENSG00000115414.18	27	85.83000183105469	42.86000061035156	True
FNIP1	ENSG00000217128.11	6	3.8499999046325684	1.6699999570846558	True
FOLH1	ENSG00000086205.16	14	19.510000228881836	7.090000152587891	True
FOXM1	ENSG00000111206.12	10	1.7000000476837158	0.17000000178813934	False
FOXP1	ENSG00000114861.18	23	13.449999809265137	4.789999961853027	True
FZR1	ENSG00000105325.13	8	12.920000076293945	6.619999885559082	True
G3BP1	ENSG00000145907.14	14	12.149999618530273	7.820000171661377	True
GALK2	ENSG00000156958.14	22	3.059999942779541	1.2799999713897705	True
GIT2	ENSG00000139436.20	20	7.150000095367432	2.2799999713897705	True
GK5	ENSG00000175066.15	12	6.039999961853027	5.690000057220459	True
GLS2	ENSG00000135423.12	17	0.9800000190734863	0.5400000214576721	False
GNA13	ENSG00000120063.9	2	10.779999732971191	0.0	False
GPHN	ENSG00000171723.15	16	7.5	3.6700000762939453	True
GPX1	ENSG00000233276.3	4	105.11000061035156	94.05000305175781	True
GREB1	ENSG00000196208.13	10	27.68000030517578	4.909999847412109	True
GRHL1	ENSG00000134317.17	8	9.069999694824219	0.07999999821186066	False
GSK3B	ENSG00000082701.14	4	5.53000020980835	1.1299999952316284	True
HAPLN3	ENSG00000140511.11	5	3.8499999046325684	3.0299999713897705	True
HAUS5	ENSG00000249115.8	9	4.889999866485596	3.0	True
HDAC10	ENSG00000100429.17	22	8.930000305175781	7.5	True
HDGF	ENSG00000143321.18	10	35.369998931884766	23.520000457763672	True
HIPK1	ENSG00000163349.21	11	10.949999809265137	0.949999988079071	False
HKR1	ENSG00000181666.17	27	17.389999389648438	8.350000381469727	True
HMGN2P46	ENSG00000179362.14	8	12.680000305175781	5.460000038146973	True
